Date,Price,Fund Return,FR-RF,Mkt-RF,ESG,SMB,HML,TSMOM,RMW,CMA,RF,QMJ,BAB,UMD,TSMOM,Carry,ESG,E,S,G
6/30/09,4.33534,0.010568058,1.0468058,0.43,-0.6365358,2.31,-2.72,1.50275031,-1.34,-0.31,0.01,3.080484584,9.101821003,5.427997725,1.50275031,2.04432,-0.6365358,3.7550033,-2.0560367,-3.1567275
7/31/09,4.681034,0.079738613,7.9638613,7.72,-2.326185,2.4,4.84,-3.384087086,-0.36,3.15,0.01,-4.390597919,-3.619406701,-4.658236442,-3.384087086,2.24746,-2.326185,-0.2213642,-0.119005,0.8318425
8/31/09,4.839713,0.03389828,3.379828,3.33,-2.7359433,-0.08,7.63,2.061929286,-2.92,3.3,0.01,-6.37256689,-2.273604166,-9.992603428,2.061929286,2.25042,-2.7359433,4.1527525,1.1111375,-0.0591208
9/30/09,5.055064,0.044496647,4.4396647,4.08,1.5599758,2.72,1.04,0.88800636,1.25,0.35,0.01,-2.516807902,-0.384255216,-5.373939827,0.88800636,0.97634,1.5599758,-2.6237508,-1.3384992,1.2785167
10/31/09,4.953055,-0.020179566,-2.0179566,-2.59,5.5239225,-4.92,-4.2,-2.305314755,4.17,-1.46,0,5.608828477,0.814698286,1.466946182,-2.305314755,-1.81824,5.5239225,-0.4506958,-0.2063675,2.5421908
11/30/09,5.242077,0.058352269,5.8352269,5.56,-0.3914275,-2.68,-0.33,4.344295286,0.98,0.11,0,-0.295726211,-1.203087431,1.389819419,4.344295286,0.6144,-0.3914275,-1.2374083,2.0875258,-0.6693483
12/31/09,5.338419,0.018378593,1.8278593,2.75,-0.0309575,6.24,-0.17,-1.511554245,1.05,-0.1,0.01,-0.355310363,0.940687239,2.092280526,-1.511554245,0.7834,-0.0309575,-0.3538292,1.7812533,1.1528142
1/31/10,5.246161,-0.017281896,-1.7281896,-3.36,-1.3690992,0.35,0.43,-4.633325109,-1.23,0.44,0,-0.480361178,1.005128099,-4.840264267,-4.633325109,1.81244,-1.3690992,-0.3491267,-1.9463492,-1.8947708
2/28/10,5.413164,0.031833373,3.1833373,3.4,-1.2559317,1.51,3.22,2.076070794,-0.28,1.4,0,-0.718328188,0.721818563,3.753112226,2.076070794,-0.27738,-1.2559317,0.0534242,-0.9351125,0.5553367
3/31/10,5.752925,0.062765695,6.2665695,6.31,-1.1033492,1.85,2.21,5.142048576,-0.63,1.67,0.01,-2.99963945,1.544272009,3.880306735,5.142048576,3.10172,-1.1033492,2.0364075,-0.7796817,-2.1646058
4/30/10,5.8681,0.020020251,1.9920251,2,-1.6123358,4.98,2.89,2.148777005,0.7,1.74,0.01,-3.527804865,1.485585241,2.547299049,2.148777005,0.04472,-1.6123358,-2.5660992,0.6442283,2.7588833
5/31/10,5.413164,-0.077526968,-7.7626968,-7.89,1.6467883,0.04,-2.44,-5.149217469,1.27,-0.23,0.01,2.44117674,-0.565103065,-0.466558082,-5.149217469,0.91052,1.6467883,-0.811515,-0.8329583,1.71609
6/30/10,5.107954,-0.056382921,-5.6482921,-5.57,0.5633958,-2.47,-4.7,1.177912617,-0.18,-1.55,0.01,2.632494353,2.309941418,-2.567992499,1.177912617,-0.41222,0.5633958,-1.1441875,-3.1227517,-1.1080317
7/31/10,5.447716,0.066516261,6.6416261,6.93,0.4684233,0.16,-0.3,-0.8803078,0.26,1.99,0.01,-1.900062201,-2.306663607,1.736794274,-0.8803078,-1.24336,0.4684233,-0.7020325,-2.8605958,0.8049767
8/31/10,5.182817,-0.048625699,-4.8725699,-4.77,0.9058508,-3.11,-1.96,5.780775158,0.58,-1.66,0.01,1.107998578,1.617344983,1.237404552,5.780775158,0.24198,0.9058508,-3.7002542,-3.1860475,-1.9452242
9/30/10,5.64927,0.089999898,8.9899898,9.54,-1.2325325,3.76,-3.17,1.169191852,-0.19,0.37,0.01,-0.299223045,-1.188257465,0.715307115,1.169191852,2.19916,-1.2325325,0.7832017,0.1839283,2.3208767
10/31/10,5.879618,0.040774826,4.0674826,3.88,0.9957625,0.86,-2.49,2.103197524,1.27,-0.31,0.01,0.269539278,2.061708549,1.05772691,2.103197524,0.88686,0.9957625,-0.6035392,-1.8206908,-1.8400492
11/30/10,5.908411,0.004897087,0.4797087,0.6,-2.5508467,3.66,-0.88,-0.688888049,0.4,1.51,0.01,-0.657055613,-0.513044153,2.344794657,-0.688888049,-0.8471,-2.5508467,-4.4200958,1.6021025,3.5308383
12/31/10,6.190586,0.047758187,4.7658187,6.82,-2.4195,0.98,3.78,4.525918281,-3.53,3.16,0.01,-4.631400332,-0.131193538,-2.80424536,4.525918281,0.62304,-2.4195,0.3834375,2.7777883,-0.0319158
1/31/11,6.381732,0.030876883,3.0776883,1.99,-0.7239183,-2.37,0.77,-0.671276907,-0.65,0.83,0.01,-0.803503573,3.020219235,-0.495160443,-0.671276907,-0.11582,-0.7239183,-0.839775,3.2880983,1.9224708
2/28/11,6.574763,0.030247431,3.0147431,3.49,-0.8206983,1.61,1.24,4.161477368,-1.93,0.87,0.01,-1.379716329,0.698054276,1.995991135,4.161477368,1.5853,-0.8206983,-2.3298858,0.8828992,0.288075
3/31/11,6.586461,0.001779228,0.1679228,0.46,0.4616883,2.64,-1.88,-1.636453741,1.79,0,0.01,1.271470226,0.42728217,2.873876428,-1.636453741,-1.34288,0.4616883,-2.1721375,-1.5628117,0.8128083
4/30/11,6.808741,0.033748017,3.3748017,2.9,3.4589675,-0.5,-2.48,5.135936556,1.08,-0.85,0,1.441648049,0.54860885,0.092700304,5.135936556,1.37666,3.4589675,-0.2227108,-2.9553808,2.1609125
5/31/11,6.738547,-0.010309395,-1.0309395,-1.27,0.313395,-0.71,-2,-1.224647078,1.88,-1.46,0,2.892977891,1.417710944,-0.4103368,-1.224647078,-0.78054,0.313395,1.3961233,-3.1171067,-1.2079825
6/30/11,6.621558,-0.017361161,-1.7361161,-1.75,1.6532033,0.13,-0.38,-2.422293107,2.44,-1.48,0,2.873573095,0.410826187,1.869861735,-2.422293107,0.37926,1.6532033,-0.604285,0.6972025,0.4056217
7/31/11,6.440226,-0.027385096,-2.7385096,-2.35,-3.0286525,-1.22,-0.91,1.875710851,2.73,-1.78,0,0.653620642,-0.411210033,0.826878809,1.875710851,0.09724,-3.0286525,-0.1811392,-1.5228033,0.8527733
8/31/11,6.060011,-0.059037524,-5.9137524,-5.99,2.515215,-3.22,-2.4,2.634213492,3.3,-0.31,0.01,5.954380634,0.757581275,0.048953585,2.634213492,-1.222,2.515215,-0.2531375,-4.0251233,-0.6402983
9/30/11,5.615457,-0.073358613,-7.3358613,-7.59,4.8643417,-3.67,-1.75,-9.458496117,2.03,0.21,0,6.572188013,2.035946281,-1.990362941,-9.458496117,-2.31006,4.8643417,3.3167358,-0.8092317,-0.8890708
10/31/11,6.28814,0.119791319,11.9791319,11.35,-3.7368917,3.48,0.12,-1.81187789,-2.14,-0.87,0,-4.185523281,-5.990872722,-1.318437169,-1.81187789,5.00456,-3.7368917,-2.5870333,2.5458308,-0.016575
11/30/11,6.311538,0.003720973,0.3720973,-0.28,-1.08995,-0.28,-0.46,2.466170856,1.83,1.51,0,3.056418016,0.616789857,3.922126897,2.466170856,-1.21662,-1.08995,-2.9509992,-3.2926225,-0.1414675
12/31/11,6.177002,-0.021315882,-2.1315882,0.74,0.3322617,-0.33,1.61,1.318321782,1.01,2.49,0,0.861725743,1.250209301,2.281144475,1.318321782,0.28238,0.3322617,1.4696583,-1.0233783,-1.0761167
1/31/12,6.590642,0.066964524,6.6964524,5.05,-2.0838567,2.07,-0.94,-0.623208665,-2.01,-1.46,0,-3.612174994,0.684720344,-7.024588103,-0.623208665,1.76888,-2.0838567,2.2236592,5.8726667,-1.86125
2/29/12,6.822834,0.035230559,3.5230559,4.42,-2.5619783,-1.71,0.43,-2.148795717,-0.47,-0.04,0,-0.89659042,2.563271149,-0.010211236,-2.148795717,1.29502,-2.5619783,3.8775042,-1.7799467,-1.42363
3/31/12,7.007396,0.027050636,2.7050636,3.11,-1.4002842,-0.49,1.12,0.209847916,-0.55,0.69,0,0.574034962,3.942259312,2.214812675,0.209847916,-0.14348,-1.4002842,6.7341925,-2.0010425,0.5690833
4/30/12,6.953814,-0.007646492,-0.7646492,-0.85,1.694925,-0.54,-0.77,3.649076402,1.31,0.69,0,0.494762818,2.896945024,3.264935269,3.649076402,-1.06916,1.694925,-1.266955,-1.2918317,1.0311542
5/31/12,6.495386,-0.065924685,-6.6024685,-6.19,1.5671075,-0.1,-1.06,10.72342152,2.1,2.34,0.01,3.12707624,2.34942522,6.791942417,10.72342152,-3.3191,1.5671075,-0.0560833,-2.583895,-0.6901442
6/30/12,6.685901,0.02933082,2.933082,3.89,-0.0517092,0.81,0.59,-6.360187517,-1.07,0.44,0,-0.618486252,1.070465278,-0.596109879,-6.360187517,2.79214,-0.0517092,-0.5421108,-0.6699467,-0.6516233
7/31/12,6.727577,0.006233416,0.6233416,0.79,0.5487975,-2.76,-0.12,1.813262411,1.13,0.03,0,0.637207839,1.057255993,3.158187126,1.813262411,2.13094,0.5487975,-1.4715367,0.5083025,0.5567592
8/31/12,6.90023,0.025663474,2.5563474,2.55,-0.0689033,0.45,1.3,-1.74694676,-1.33,-0.88,0.01,-0.540811097,-0.872378276,-2.717790661,-1.74694676,1.70094,-0.0689033,2.74223,2.64704,-2.1497433
9/30/12,7.055025,0.02243331,2.233331,2.73,-2.0673158,0.64,1.58,-3.761180117,-1.51,1.51,0.01,-1.195494956,0.774486791,-1.799204547,-3.761180117,1.0494,-2.0673158,-0.2634225,1.532505,1.4540325
10/31/12,6.977629,-0.010970337,-1.1070337,-1.76,-3.5789725,-0.91,3.56,-1.13961572,-1.34,2.55,0.01,-2.133461064,2.009801606,0.514286828,-1.13961572,0.00152,-3.5789725,-1.4234192,-0.0907967,-0.3859533
11/30/12,7.043118,0.009385566,0.9285566,0.78,-0.366355,0.44,-0.83,-0.264900134,0.65,0.86,0.01,1.297004888,-1.358089796,0.415727399,-0.264900134,1.29058,-0.366355,1.5841758,-1.6651225,-2.1886075
12/31/12,7.025257,-0.002535951,-0.2635951,1.18,-1.279745,1.92,3.53,1.038525071,-1.86,0.86,0.01,-2.433943977,-1.059351483,-2.048710534,1.038525071,0.42444,-1.279745,-0.4513617,3.0222333,-1.1204467
1/31/13,7.626757,0.085619644,8.5619644,5.57,-2.5863875,0.46,0.95,0.809576908,-1.93,1.43,0,-2.070508167,4.393573613,-0.974997123,0.809576908,1.07048,-2.5863875,-2.4530667,-1.1485742,0.1512467
2/28/13,7.754375,0.016732931,1.6732931,1.29,0.6675658,-0.29,0.1,1.866062035,-0.66,0.57,0,0.494449668,1.869720176,2.057578979,1.866062035,1.4644,0.6675658,0.6692142,-0.9570975,-0.9874675
3/31/13,8.112924,0.046238285,4.6238285,4.03,-1.0603467,0.87,-0.23,1.269830131,0.13,1.37,0,-0.435960136,2.333859097,1.832616189,1.269830131,-0.27046,-1.0603467,0.1337217,0.2466275,0.0432658
4/30/13,8.198004,0.010486971,1.0486971,1.55,-0.2319942,-2.24,0.5,6.076885231,0.27,0.39,0,-0.990792163,1.677056078,1.078809987,6.076885231,0.20936,-0.2319942,2.50109,-3.0219217,1.1294725
5/31/13,8.410702,0.025945096,2.5945096,2.8,1.0653667,2.08,2.67,-2.224366934,-1.99,-0.93,0,0.217369455,-1.500337186,-1.278230686,-2.224366934,-0.04198,1.0653667,3.4830267,3.5481283,-2.8590558
6/30/13,8.325622,-0.010115684,-1.0115684,-1.2,-0.9961475,1.56,0.05,0.531472007,-0.39,0.01,0,1.358378922,2.09087002,0.657264592,0.531472007,-1.19116,-0.9961475,-0.2240808,0.2879308,1.3598783
7/31/13,8.751019,0.051094921,5.1094921,5.65,-1.6062967,1.81,0.57,3.402208044,-1.35,0.53,0,-1.040945133,1.803798622,1.377711547,3.402208044,1.61164,-1.6062967,1.5696567,2.3793058,-1.8698142
8/31/13,8.477551,-0.031249846,-3.1249846,-2.71,1.7547525,-0.07,-2.68,-0.778663641,0.67,-2.16,0,0.870150202,-0.375546116,-0.414073429,-0.778663641,0.19584,1.7547525,-0.2765983,0.3599467,0.7885092
9/30/13,8.799637,0.037992812,3.7992812,3.77,-0.8110292,2.65,-1.23,-1.44524044,-0.56,-1.4,0,-0.831688503,0.764109431,3.098029508,-1.44524044,0.53426,-0.8110292,0.2572567,-1.0241708,-0.8211575
10/31/13,9.164262,0.041436368,4.1436368,4.18,1.1617708,-1.5,1.26,2.453962136,2.76,0.92,0,1.513419473,2.878368685,0.797442539,2.453962136,1.71766,1.1617708,0.2318742,-1.2340267,1.0870025
11/30/13,9.383036,0.023872517,2.3872517,3.13,-0.6720333,1.4,0.28,3.638301187,0.16,0.04,0,1.526057144,1.943423892,1.821374063,3.638301187,-1.0734,-0.6720333,3.53845,2.8510342,0.2407825
12/31/13,9.407345,0.002590739,0.2590739,2.81,0.8683142,-0.44,-0.01,1.936951759,-0.46,0.08,0,-1.434177393,0.268073018,1.136898859,1.936951759,-0.79098,0.8683142,-0.6124225,-0.415995,-0.6994908
1/31/14,9.290037,-0.012469831,-1.2469831,-3.32,-0.6907508,0.59,-2.02,-4.824889445,-3.88,-1.43,0,-3.657366257,2.046073548,0.760036185,-4.824889445,0.88116,-0.6907508,-0.6724167,0.9432433,-0.9162825
2/28/14,9.744272,0.048894854,4.8894854,4.65,0.2051642,0.16,-0.31,-0.869465284,-0.23,-0.48,0,-0.724249323,-0.178525469,1.342607874,-0.869465284,0.9269,0.2051642,-0.4207375,0.7200192,-0.0104942
3/31/14,9.806497,0.006385803,0.6385803,0.43,0.047995,-1.13,4.92,1.164568827,2.11,1.98,0,1.614876101,1.584023226,-1.939629977,1.164568827,0.51982,0.047995,-1.0196275,-1.1858867,0.8650042
4/30/14,9.837606,0.003172285,0.3172285,-0.19,2.0564433,-4.13,1.14,-0.072206283,3.45,1.03,0,0.362227529,0.208635793,-4.314370552,-0.072206283,0.54218,2.0564433,-3.5018725,-1.8015125,-0.8283667
5/31/14,10.074059,0.024035624,2.4035624,2.06,0.747155,-1.89,-0.13,-0.268123805,0.05,-1.01,0,0.215495833,1.067657553,1.182927876,-0.268123805,1.98424,0.747155,1.2461125,-0.66736,1.1971642
