Date,Price,Fund Return,FR-RF,Mkt-RF,ESG,SMB,HML,TSMOM,RMW,CMA,RF,QMJ,BAB,UMD,TSMOM,Carry,ESG,E,S,G
6/30/14,10.322953,0.024706427,2.4706427,2.61,-0.6655442,3.1,-0.69,2.437488031,-1.88,-1.99,0,-1.820472535,-0.38213416,0.609089453,2.437488031,0.3749,-0.6655442,-1.9002942,2.2449642,1.3630983
7/31/14,10.136283,-0.018083004,-1.8083004,-2.04,2.2570458,-4.28,0.02,-0.586154383,0.89,0.49,0,1.110846501,1.011514012,-0.077490335,-0.586154383,-0.59506,2.2570458,3.6825325,0.3492967,-1.5845
8/31/14,10.553181,0.041129278,4.1129278,4.24,0.1202083,0.3,-0.43,3.387584129,-0.62,-0.68,0,-0.260249321,1.7293056,0.96279138,3.387584129,0.97566,0.1202083,-0.12292,1.08125,-1.1560892
9/30/14,10.298063,-0.024174512,-2.4174512,-1.97,0.8333083,-3.73,-1.35,3.941104142,1.31,-0.5,0,3.568433254,2.467291838,1.112972308,3.941104142,-0.17586,0.8333083,3.7610742,-1.9768433,-3.5909633
10/31/14,10.52207,0.021752343,2.1752343,2.52,0.6880533,3.75,-1.83,0.840504789,-0.48,-0.12,0,4.248473791,2.088104794,-0.146463759,0.840504789,-1.024,0.6880533,3.4851925,-1.8946583,-7.0176675
11/30/14,10.72741,0.019515171,1.9515171,2.55,1.3657583,-2.26,-3.09,8.480329611,1.54,0.25,0,2.793055836,2.364990113,0.886206115,8.480329611,0.67086,1.3657583,5.5120475,-0.360615,-2.6687533
12/31/14,10.44118,-0.026682116,-2.6682116,-0.06,-1.4995058,2.87,2.27,4.584863133,-1.22,0.95,0,0.244737861,0.283040902,1.084686448,4.584863133,-2.35314,-1.4995058,-0.667505,3.260375,-1.0953733
1/31/15,10.35386,-0.008363039,-0.8363039,-3.11,0.0254508,-0.9,-3.61,12.94912388,1.64,-1.68,0,-1.104141606,2.627117095,5.3453699,12.94912388,-0.02306,0.0254508,-1.3698833,-3.1476367,-1.4181025
2/28/15,10.915598,0.054253969,5.4253969,6.13,-0.2807433,0.3,-1.86,-2.405418353,-1.12,-1.78,0,0.478518599,-2.069760247,-3.255226316,-2.405418353,2.39184,-0.2807433,4.0218358,0.4692125,-0.1466408
3/31/15,10.794313,-0.011111164,-1.1111164,-1.12,-2.0563258,3.1,-0.41,5.858350222,0.15,-0.54,0,0.110926473,1.406169955,3.423543564,5.858350222,1.06206,-2.0563258,0.4033567,3.2549283,-2.1895333
4/30/15,10.78793,-0.00059133,-0.059133,0.59,2.0542875,-3.07,1.83,-6.5851652,0.01,-0.64,0,-1.112727589,-2.162725132,-7.889063688,-6.5851652,-0.19822,2.0542875,-0.9231458,-0.3960967,7.0843992
5/31/15,10.896448,0.010059205,1.0059205,1.36,-0.2559833,0.82,-1.12,1.395542571,-1.77,-0.72,0,0.263546161,2.672490123,6.40387924,1.395542571,0.15514,-0.2559833,4.1625592,-0.1043142,-4.5099842
6/30/15,10.666645,-0.021089717,-2.1089717,-1.53,-1.9411225,2.89,-0.78,-5.779327993,0.43,-1.56,0,2.451910678,1.969596742,3.412953851,-5.779327993,-3.47188,-1.9411225,3.2890975,-0.169385,-1.9460867
7/31/15,10.832614,0.015559625,1.5559625,1.54,-2.8371625,-4.58,-4.07,8.74038404,0.34,-2.47,0,1.860524639,5.497710205,10.40998349,8.74038404,1.91578,-2.8371625,5.3260867,-4.3095083,-2.3842558
8/31/15,10.194275,-0.058927513,-5.8927513,-6.04,-0.0829442,0.27,2.8,-1.765704237,0.64,1.27,0,1.825063309,-1.535228095,-1.702549213,-1.765704237,-3.16442,-0.0829442,-1.8212583,-0.575945,0.5492483
9/30/15,9.894257,-0.029430048,-2.9430048,-3.07,1.8774442,-2.78,0.58,3.058315125,1.83,-0.57,0,5.606555699,5.639492702,7.082867679,3.058315125,-0.97098,1.8774442,2.7057467,-3.2355858,1.4063233
10/31/15,10.666645,0.078064275,7.8064275,7.75,0.5633967,-2.06,-0.45,-0.661309877,0.86,0.53,0,0.230149333,-1.034433964,-2.978102395,-0.661309877,2.25882,0.5633967,-0.4362908,-3.6427325,3.9352867
11/30/15,10.704947,0.00359082,0.359082,0.56,0.2610683,3.31,-0.38,4.290957175,-2.72,-1.02,0,0.734892236,1.339930579,2.880363836,4.290957175,1.81702,0.2610683,1.8648217,3.8453308,0.00837833
12/31/15,9.907022,-0.074537968,-7.4637968,-2.17,-0.5074117,-2.97,-2.59,-0.357731731,0.47,0.02,0.01,1.294354256,2.573891511,4.017783974,-0.357731731,0.38648,-0.5074117,2.7961733,-2.371105,-1.808705
1/31/16,9.858377,-0.004910154,-0.5010154,-5.77,1.1446708,-3.42,2.07,2.881698379,2.81,3.09,0.01,7.857361345,0.721399413,2.559928988,2.881698379,0.63364,1.1446708,-1.9587783,-5.9022358,-1.4869525
2/29/16,9.898754,0.004095705,0.3895705,-0.08,2.5078225,0.93,-0.57,1.697063336,3.32,1.96,0.02,2.292412477,-0.607641608,-4.787596972,1.697063336,1.58226,2.5078225,-3.0770633,-0.9726125,-2.1308075
3/31/16,10.618786,0.07273966,7.253966,6.96,2.5660067,1.01,1.1,-5.237201003,0.73,-0.02,0.02,-2.230542942,-2.433818504,-5.394362148,-5.237201003,-0.13266,2.5660067,-1.7730692,0.6308525,2.7036092
4/30/16,10.719726,0.009505795,0.9405795,0.92,-2.9043617,1.15,3.21,-4.808967047,-2.92,1.89,0.01,-4.921783193,-2.611953275,-6.102589173,-4.808967047,0.0891,-2.9043617,-4.0464133,2.5355267,5.271435
5/31/16,10.874497,0.014437962,1.4337962,1.78,-1.1118417,-0.64,-1.65,1.176454672,-1.09,-2.49,0.01,0.526482494,2.22755777,2.388337147,1.176454672,0.89828,-1.1118417,2.8638917,1.1018142,0.4892675
6/30/16,10.881227,0.000618879,0.0418879,-0.05,0.6606217,0.43,-1.45,7.082430627,1.46,1.94,0.02,0.771703495,2.893925588,4.845833491,7.082430627,-0.06896,0.6606217,-4.9939358,-3.690975,0.3965408
7/31/16,11.305171,0.038961047,3.8761047,3.95,0.4643992,2.49,-1.29,-0.845000023,1.25,-1.17,0.02,-0.097670523,2.32770773,-2.506774481,-0.845000023,3.03124,0.4643992,3.7763233,3.0238,-1.283525
8/31/16,11.392652,0.00773814,0.753814,0.5,0.4284425,1.69,3.11,-1.696748927,-1.89,-0.34,0.02,0.173065682,-1.84161146,-3.480386012,-1.696748927,0.1188,0.4284425,1.8065725,0.9234758,0.7898217
9/30/16,11.392652,0,-0.02,0.25,-0.0452958,1.87,-1.21,1.316742378,-2.23,0.02,0.02,-3.144950259,-0.165754008,-0.316262118,1.316742378,-0.64778,-0.0452958,-1.2727533,-0.467505,1.7101967
10/31/16,11.136938,-0.02244552,-2.264552,-2.02,1.7342583,-4.05,4.12,-3.46826245,0.96,0.23,0.02,2.796980871,1.099780701,0.452196992,-3.46826245,1.0793,1.7342583,1.9624975,-3.6525708,1.2396383
11/30/16,11.641633,0.045317214,4.5217214,4.86,-2.0091608,7.03,8.21,-4.935047765,-0.17,3.7,0.01,0.619131617,-1.62424865,-3.798793485,-4.935047765,1.45066,-2.0091608,-1.0135067,6.7965958,1.0299783
12/31/16,11.103292,-0.046242739,-4.6542739,1.82,0.7845542,0.4,3.6,-4.033866532,1.24,-0.23,0.03,1.543026827,3.764882735,-0.525471417,-4.033866532,0.1318,0.7845542,0.0217475,-0.98401,0.0704892
1/31/17,12.080273,0.08799021,8.759021,1.94,0.4976308,-1.42,-2.74,0.442382905,-0.5,-0.98,0.04,-2.608835129,0.070509604,-0.313186369,0.442382905,0.4445,0.4976308,1.9179158,-0.6246492,1.1119508
2/28/17,12.468337,0.032123777,3.1723777,3.57,1.1828475,-2.23,-1.67,3.956472738,0.43,-1.84,0.04,1.287128499,1.865686721,-1.70284561,3.956472738,1.6782,1.1828475,3.963685,-2.1861525,-3.0681708
3/31/17,12.461151,-0.00057634,-0.087634,0.17,1.3374767,0.74,-3.33,-1.727456822,0.63,-0.94,0.03,0.821745724,1.330376496,-0.875173095,-1.727456822,1.63096,1.3374767,0.174255,-1.8273858,0.0117925
4/30/17,12.626436,0.013264024,1.2764024,1.09,0.1014125,0.47,-2.13,-2.444220609,1.92,-1.62,0.05,2.415393284,2.046784537,0.134836292,-2.444220609,0.1351,0.1014125,1.4067642,-0.3267042,-0.2472692
5/31/17,12.798909,0.013659674,1.3059674,1.06,3.23629,-3.03,-3.75,0.560113968,0.95,-1.8,0.06,2.25928166,2.294135909,1.939424123,0.560113968,0.79686,3.23629,1.7869033,-3.8424192,-0.0799992
6/30/17,12.935452,0.010668331,1.0068331,0.78,-1.494705,2.57,1.49,-1.07887834,-2.26,0,0.06,-1.390983532,-0.026413213,-0.378499896,-1.07887834,-1.41946,-1.494705,1.672225,1.0920842,-3.7658425
7/31/17,13.19416,0.01999992,1.929992,1.87,0.910675,-1.62,-0.22,-0.143790446,-0.59,-0.15,0.07,-0.714879722,0.188442743,1.862643921,-0.143790446,-0.50626,0.910675,1.4398917,3.93246,1.0478208
8/31/17,13.143854,-0.003812747,-0.4712747,0.16,2.5496958,-1.82,-2.07,-0.348514688,0.12,-2.35,0.09,-0.334584593,-0.083218884,3.21939513,-0.348514688,2.09522,2.5496958,1.2828225,-0.3349092,-1.4326625
9/30/17,13.503173,0.027337416,2.6437416,2.51,-2.24395,4.74,3.09,2.150986104,-1.5,1.63,0.09,-0.333887185,-0.191250243,-1.444545525,2.150986104,0.29612,-2.24395,-2.9448892,2.8989258,1.5009075
10/31/17,13.790627,0.021287885,2.0387885,2.25,3.04212,-1.95,0.22,2.424441679,0.85,-3.23,0.09,2.159701636,0.262942881,5.408748981,2.424441679,2.33016,3.04212,1.3752142,2.36463,2.8652592
11/30/17,14.17869,0.02813962,2.733962,3.12,-1.6665908,-0.35,-0.05,-1.382664051,3.17,-0.1,0.08,2.25690507,1.997585963,-0.018041911,-1.382664051,-0.04032,-1.6665908,0.2098283,-0.74978,-0.1601825
12/31/17,13.783441,-0.027876271,-2.8776271,1.06,-1.6049375,-1.07,0.03,4.28796167,0.75,1.66,0.09,-1.560124626,0.476583151,-2.404780536,4.28796167,0.80352,-1.6049375,-0.8567133,-2.4018125,0.477915
1/31/18,15.11944,0.096927828,9.5827828,5.58,0.420215,-3.25,-1.36,1.672160363,-0.72,-1.01,0.11,0.896554228,-0.038106324,3.689327397,1.672160363,-1.057534199,0.420215,4.5588258,3.3935708,6.1400858
2/28/18,14.528722,-0.039070098,-4.0170098,-3.65,3.6912808,0.32,-1.03,-5.457861467,0.56,-2.32,0.11,1.686518862,-1.948468539,4.054999706,-5.457861467,-1.763994094,3.6912808,4.3850083,2.6113692,0.2226308
3/31/18,14.311875,-0.014925401,-1.6125401,-2.35,-0.7408533,3.59,-0.23,-1.340075219,-0.48,0,0.12,-0.261475727,2.460876506,-0.954559476,-1.340075219,0.578921858,-0.7408533,-3.4614867,-1.6025775,1.5084133
4/30/18,14.341785,0.002089873,0.0689873,0.29,-1.038615,0.91,0.48,0.95359698,-2.41,1.26,0.14,-1.426706314,0.087941707,-1.222732278,0.95359698,2.490487436,-1.038615,-2.43539,6.129195,5.9387308
5/31/18,14.625929,0.019812318,1.8412318,2.65,1.1174375,4.79,-3.13,-2.109834487,-2.05,-1.48,0.14,-0.59409232,0.618655163,2.473911737,-2.109834487,0.558115901,1.1174375,-0.66537,2.1006225,2.1007533
6/30/18,14.700703,0.005112427,0.3712427,0.48,-1.2036575,0.81,-2.33,-0.073753614,0.82,0.21,0.14,0.773063056,2.423173856,-2.24042189,-0.073753614,1.473208092,-1.2036575,0.2968533,-0.0371092,1.0223008
7/31/18,15.201694,0.034079391,3.2479391,3.19,2.815055,-1.95,0.45,-0.276680264,1.53,0.36,0.16,1.523340371,-0.368532082,-1.434563483,-0.276680264,-0.860237406,2.815055,0.2435592,0.0868542,-2.0117392
8/31/18,15.695207,0.032464342,3.0864342,3.44,2.2157183,0.63,-3.98,2.74199598,-0.29,-2.64,0.16,0.382543491,-1.225661414,4.810672811,2.74199598,-0.273265792,2.2157183,4.6277983,7.4072517,2.2886775
9/30/18,15.702685,0.000476451,-0.1023549,0.06,0.6599042,-2.5,-1.7,-1.483479377,0.67,1.28,0.15,0.270556135,-0.617811734,0.128755502,-1.483479377,0.680773897,0.6599042,0.2152017,-0.5634583,0.4664483
10/31/18,14.506289,-0.076190537,-7.8090537,-7.68,0.4624725,-4.5,3.43,-0.533356342,1,3.54,0.19,3.644601818,2.115598337,-1.419316669,-0.533356342,-1.533564847,0.4624725,1.73875,-5.6713083,-2.89703
11/30/18,14.887639,0.026288598,2.4488598,1.69,-1.6970983,-0.76,0.26,-2.557524857,-0.62,0.4,0.18,2.209989817,-0.100485049,-0.981235788,-2.557524857,-2.600128149,-1.6970983,-1.8553633,1.4213442,-0.3405017
12/31/18,12.382689,-0.168257035,-17.0157035,-9.55,1.3719492,-2.91,-1.9,-0.449451577,-0.03,0.2,0.19,1.460813081,-0.039520272,2.501588205,-0.449451577,-3.421279815,1.3719492,-0.1905742,2.66303,-0.6079133
1/31/19,14.677159,0.185296586,18.3196586,8.41,-2.29757,3.01,-0.44,-6.057801073,-0.78,-1.53,0.21,-3.649077207,-0.641835476,-7.126306016,-6.057801073,1.301733937,-2.29757,0.7356,0.2627942,1.7763333
2/28/19,15.215919,0.036707376,3.4907376,3.4,1.5865667,1.73,-2.68,-0.481676929,0.21,-1.61,0.18,-0.24329846,0.013440464,0.349542782,-0.481676929,2.4014568,1.5865667,0.7253492,-1.5488892,-2.4553458
3/31/19,15.40367,0.012339117,1.0439117,1.1,3.1336725,-3.46,-4.05,5.797930004,0.78,-0.99,0.19,-0.869827814,0.282655648,2.806001102,5.797930004,-0.975908348,3.1336725,-0.5788625,-1.4485042,0.7149233
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,